"행정구역","2016년12월_전체세대","2016년12월_1인세대","2016년12월_2인세대","2016년12월_3인세대","2016년12월_4인세대","2016년12월_5인세대","2016년12월_6인세대","2016년12월_7인세대","2016년12월_8인세대","2016년12월_9인세대","2016년12월_10인세대"
"전국  (1000000000)","21,294,009","7,446,665","4,568,962","3,927,088","3,943,543","1,077,119","245,845","59,972","15,738","4,963","4,114"
"서울특별시  (1100000000)","4,189,839","1,561,533","847,102","778,997","761,414","184,019","41,957","10,351","2,883","929","654"
"서울특별시 종로구 (1111000000)","72,118","34,698","13,049","10,736","9,877","2,779","701","194","47","23","14"
"서울특별시 중구 (1114000000)","59,651","28,368","11,780","9,138","7,615","2,039","508","137","40","12","14"
"서울특별시 용산구 (1117000000)","106,607","48,131","21,228","17,086","14,876","3,938","963","253","84","25","23"
"서울특별시 성동구 (1120000000)","128,727","49,318","26,476","24,086","21,959","5,161","1,241","356","85","29","16"
"서울특별시 광진구 (1121500000)","158,390","65,896","30,862","27,358","26,438","5,975","1,364","350","99","23","25"
"서울특별시 동대문구 (1123000000)","159,426","68,367","31,203","26,741","24,467","6,463","1,652","378","97","38","20"
"서울특별시 중랑구 (1126000000)","177,400","67,162","38,045","33,340","29,549","7,269","1,556","343","101","22","13"
"서울특별시 성북구 (1129000000)","188,304","69,093","38,167","35,422","34,229","8,556","2,075","552","127","46","37"
"서울특별시 강북구 (1130500000)","141,229","52,653","31,855","26,664","22,483","5,763","1,332","325","89","42","23"
"서울특별시 도봉구 (1132000000)","136,898","40,157","30,753","29,216","27,931","6,744","1,537","395","114","35","16"
"서울특별시 노원구 (1135000000)","219,736","63,642","46,108","46,104","50,175","10,902","2,152","456","134","38","25"
"서울특별시 은평구 (1138000000)","201,891","68,747","44,203","39,913","36,523","9,534","2,208","551","147","34","31"
"서울특별시 서대문구 (1141000000)","136,766","54,371","28,028","24,193","22,750","5,581","1,380","344","81","17","21"
"서울특별시 마포구 (1144000000)","169,432","70,544","34,435","29,071","26,999","6,449","1,423","334","103","45","29"
"서울특별시 양천구 (1147000000)","177,434","47,141","34,590","38,548","44,091","10,167","2,172","489","158","46","32"
"서울특별시 강서구 (1150000000)","245,045","83,462","52,108","48,885","46,360","11,092","2,336","560","162","48","32"
"서울특별시 구로구 (1153000000)","172,220","59,834","36,398","33,310","32,086","8,092","1,865","455","120","35","25"
"서울특별시 금천구 (1154500000)","104,483","42,887","21,511","18,199","16,485","4,099","980","222","59","25","16"
"서울특별시 영등포구 (1156000000)","165,729","70,252","32,240","28,582","26,402","6,243","1,442","388","100","50","30"
"서울특별시 동작구 (1159000000)","172,506","66,694","35,226","31,402","29,704","7,141","1,706","440","128","43","22"
"서울특별시 관악구 (1162000000)","251,955","128,682","46,565","35,590","30,917","7,735","1,827","459","108","36","36"
"서울특별시 서초구 (1165000000)","173,970","54,948","33,198","34,701","38,514","9,480","2,248","602","180","53","46"
"서울특별시 강남구 (1168000000)","234,080","87,495","42,282","42,456","47,357","10,976","2,528","669","195","79","43"
"서울특별시 송파구 (1171000000)","258,382","81,256","50,740","52,635","57,002","12,953","2,832","669","211","43","41"
"서울특별시 강동구 (1174000000)","177,460","57,735","36,052","35,621","36,625","8,888","1,929","430","114","42","24"
"부산광역시  (2600000000)","1,451,270","490,809","333,878","282,985","257,900","65,796","15,007","3,507","875","274","239"
"부산광역시 중구 (2611000000)","23,282","11,865","5,153","3,250","2,140","622","188","48","7","3","6"
"부산광역시 서구 (2614000000)","52,497","22,786","12,266","8,501","6,381","1,881","511","115","31","11","14"
